State,Religion/Religious,Grades 6&7,Geographic Representations: Spatial Views of the World,GEO,"6 7.1 Construct maps to represent and explain the pattern of cultural and environmental characteristics in our world. GEO 6 7.2 Use maps, satellite images, photographs, and other representations to explain relationships between the locations of places and regions, and changes in their environmental characteristics. / Supporting Questions: How could a map be drawn to illustrate the variation and distribution of Middle Eastern religions?"
CT,,Grades 6&7,Civic and Political Institutions,CIV,"6 7.1 Explain specific roles played by citizens (such as voters, jurors, taxpayers, members of the armed forces, petitioners, protesters, and officeholders). Supporting Questions: * What powers and responsibilities do religious leaders have in nongovernmental leadership of Middle Eastern countries? * What role do religious leaders play in Middle Eastern governments?"
CT,Spirit/Spiritual,NA,,,
CT,Holiday,NA,,,
CT,Christian/Christmas/Christianity,NA,,,
CT,Muslim/Islam/Ramadan,NA,,,
CT,Jew/Judaism/Hanukah/Holocaust,NA,,,
CT,Hindu,NA,,,
CT,Buddhism,NA,,,
CT,Sikh,NA,,,
CT,Mormon,NA,,,
CT,Kwanzaa,NA,,,
CT,Genocide,NA,,,
CT,Persecution,NA,,,
CT,Church,NA,,,
CT,Mosque,NA,,,
CT,Temple,NA,,,
CT,Synagogue,NA,,,
CT,Pilgrim/pilgrimage,NA,,,
CT,Mission/Missionary/missionaries,NA,,,
CT,shaman,NA,,,
CT,god,NA,,,
CT,Theology,NA,,,
CT,theocracy,NA,,,
CT,Crusades,NA,,,
CT,Catholic,NA,,,
CT,Protestant,NA,,,
CT,Theocratic,NA,,,
CT,Antisemitism,NA,,,
CT,Israelite & Hebrew,NA,,,
CT,Confucian/Confucianism/Confucius,NA,,,
CT,Jain/Jainism,NA,,,
CT,Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,NA,,,
CT,Shinto/Shintoism,NA,,,
CT,Zoroastrianism,NA,,,
CT,Bahai/Baha 'i,NA,,,
CT,Notes:,NA,,,
CT,"Themes & Content sometimes referenced keywords, but standards did not (e.g. Buddhist in defining regions)",NA,,,
