state,Split Grade and Course Name,Grade columns needs to be normalized,Needs course column,Needs Indicator Column ,Concat,Special,SPECIAL,Count ,
AK_MS_edited.csv,0,0,0,0,0,,,0,
AL_MS_edited.csv,1,1,1,1,1,1,"Split course and grade at the ""/"" AND Split indicator and standard at '.'",6,
AR_MS_edited.csv,0,1,0,0,0,,,1,
AZ_MS_edited.csv,0,1,0,0,0,,,1,
CA_MS_edited.csv,0,1,0,0,0,,,1,
CO_MS_edited.csv,0,1,0,0,0,,,1,
CT_MS_edited.csv,0,1,0,0,0,,,1,
DC_MS_edited.csv,0,0,0,0,0,,,0,
DE_MS_edited.csv,0,1,0,0,0,,,1,
FL_MS_edited.csv,0,1,0,0,0,,,1,
GA_MS_edited.csv,0,1,0,0,0,,,1,
HI_MS_edited.csv,1,1,1,0,0,1,"special function, split at "":""",4,
IA_MS_edited.csv,0,1,0,0,0,,,1,
ID_MS_edited.csv,0,1,0,0,0,,,1,
IL_MS_FLAG.csv,0,0,0,0,0,,SKIP,0,
IN_MS_edited.csv,0,0,0,0,1,1,,2,
KS_MS_edited.csv,0,1,0,0,0,,,1,
KY_MS_edited.csv,0,0,0,0,1,1,need to concatenate columns C and D before doing anything else,2,concat two part course/topic columns
LA_MS_edited.csv,0,0,0,0,1,,,1,
MA_MS_edited.csv,0,0,0,1,1,1,"indicator needs to be extracted from end of course/topic, in square brackets ",3,
MD_MS_edited.csv,0,1,0,0,1,,,2,
ME_MS_FLAG.csv,0,0,0,0,0,,SKIP,0,
MI_MS_edited.csv,0,0,0,0,1,,,1,
MN_MS_edited.csv,0,0,0,0,1,1,"need to concatenate columns C, D, and E first",2,"strand, standard, code in three separate columns"
MO_MS_edited.csv,0,1,0,1,0,1,"split indicator from standard at the ""|""",3,
MS_MS_edited.csv,0,0,0,0,1,,,1,
MT_MS_FLAG.csv,0,,,,0,,SKIP,0,
NC_MS_edited.csv,0,0,0,0,0,,,0,
ND_MS_edited.csv,0,1,0,0,0,,,1,
NE_MS_edited.csv,0,0,0,0,0,,,0,
NH_MS_edited.csv,0,1,0,0,0,,,1,
NJ_MS_edited.csv,0,1,0,0,0,,,1,
NM_MS_edited.csv,0,0,0,0,0,,,0,
NV_MS_edited.csv,0,1,0,0,0,,,1,
NY_MS_edited.csv,0,0,0,0,0,,,0,
OH_MS_edited.csv,0,0,0,1,0,1,just add an empty indicator column,2,
OK_MS_edited.csv,0,0,0,0,0,,,0,
OR_MS_edited.csv,0,0,0,0,0,,,0,
PA_MS_edited.csv,,,,,1,,SKIP - still not sure what is happening here,1,
RI_MS_edited.csv,0,0,0,0,1,,,1,
SC_MS_edited.csv,0,0,0,0,1,,,1,
SD_MS_edited.csv,0,0,0,0,1,,,1,
TN_MS_edited.csv,0,0,0,0,0,,,0,
TX_MS_edited.csv,0,0,0,0,1,,,1,
UT_MS_edited.csv,0,1,0,0,0,,,1,
VA_MS_edited.csv,0,0,0,,1,,,1,
VT_MS_FLAG.csv,0,0,0,0,0,,SKIP,0,
WA_MS_FLAG.csv,0,,,,0,,SKIP,0,
WI_MS_edited.csv,0,1,0,0,0,,,1,
WV_MS_edited.csv,0,0,0,0,1,,,1,
WY_MS_edited.csv,0,1,0,0,1,,,2,
,,,,,,,,,
,,,,,,,,,
,2,22,2,4,17,8,,,
